Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
LaLiga ,17,11/29/11,Home,FC Barcelona,Rayo Vallecano,4:0,CF,49',4:0,Left-footed shot,Dani Alves
LaLiga ,15,12/3/11,Home,FC Barcelona,Levante UD,5:0,CF,55',4:0,Left-footed shot,Dani Alves
Club World Cup ,Finale,12/18/11,Away,FC Barcelona,Santos FC,0:4,RW,17',0:1,Left-footed shot,Xavi
Club World Cup ,Finale,12/18/11,Away,FC Barcelona,Santos FC,0:4,RW,82',0:4,Left-footed shot,Dani Alves
Copa del Rey ,Achtelfinale,1/4/12,Home,FC Barcelona,CA Osasuna,4:0,CF,71',3:0,Header,Cesc Fàbregas
Copa del Rey ,Achtelfinale,1/4/12,Home,FC Barcelona,CA Osasuna,4:0,CF,90',4:0,Left-footed shot,Xavi
LaLiga ,19,1/15/12,Home,FC Barcelona,Real Betis Balompié,4:2,CF,12',2:0,Right-footed shot,Alexis Sánchez
LaLiga ,19,1/15/12,Home,FC Barcelona,Real Betis Balompié,4:2,CF,86',4:2,Penalty,Not Applicable
LaLiga ,1,1/22/12,Away,FC Barcelona,Málaga CF,1:4,CF,32',0:1,Header,Adriano
LaLiga ,1,1/22/12,Away,FC Barcelona,Málaga CF,1:4,CF,51',0:3,Left-footed shot,Thiago Alcántara
LaLiga ,1,1/22/12,Away,FC Barcelona,Málaga CF,1:4,CF,77',0:4,Left-footed shot,Pedro
LaLiga ,22,2/4/12,Home,FC Barcelona,Real Sociedad,2:1,CF,72',2:0,Left-footed shot,Dani Alves
UEFA Champions League ,Achtelfinale,2/14/12,Away,FC Barcelona,Bayer 04 Leverkusen,1:3,CF,88',1:3,Left-footed shot,Dani Alves
LaLiga ,24,2/19/12,Home,FC Barcelona,Valencia CF,5:1,CF,21',1:1,Left-footed shot,Not Applicable
LaLiga ,24,2/19/12,Home,FC Barcelona,Valencia CF,5:1,CF,27',2:1,Tap-in,Not Applicable
LaLiga ,24,2/19/12,Home,FC Barcelona,Valencia CF,5:1,CF,75',3:1,Left-footed shot,Cristian Tello
LaLiga ,24,2/19/12,Home,FC Barcelona,Valencia CF,5:1,CF,84',4:1,Left-footed shot,Sergio Busquets
LaLiga ,25,2/26/12,Away,FC Barcelona,Atlético de Madrid,1:2,CF,79',1:2,Direct free kick,Not Applicable
UEFA Champions League ,Achtelfinale,3/7/12,Home,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,25',1:0,Left-footed shot,Xavi
UEFA Champions League ,Achtelfinale,3/7/12,Home,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,42',2:0,Left-footed shot,Andrés Iniesta
UEFA Champions League ,Achtelfinale,3/7/12,Home,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,50',3:0,Right-footed shot,Cesc Fàbregas
UEFA Champions League ,Achtelfinale,3/7/12,Home,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,58',5:0,Left-footed shot,Not Applicable
UEFA Champions League ,Achtelfinale,3/7/12,Home,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,85',7:0,Left-footed shot,Seydou Keita
LaLiga ,27,3/11/12,Away,FC Barcelona,Racing Santander,0:2,CF,29',0:1,Left-footed shot,Cesc Fàbregas
LaLiga ,27,3/11/12,Away,FC Barcelona,Racing Santander,0:2,CF,56',0:2,Penalty,Not Applicable
LaLiga ,28,3/17/12,Away,FC Barcelona,Sevilla FC,0:2,CF,25',0:2,Left-footed shot,Andrés Iniesta
LaLiga ,29,3/20/12,Home,FC Barcelona,Granada CF,5:3,CF,16',2:0,Left-footed shot,Isaac Cuenca
LaLiga ,29,3/20/12,Home,FC Barcelona,Granada CF,5:3,CF,66',3:2,Left-footed shot,Dani Alves
LaLiga ,29,3/20/12,Home,FC Barcelona,Granada CF,5:3,CF,85',5:2,Left-footed shot,Dani Alves
LaLiga ,30,3/24/12,Away,FC Barcelona,RCD Mallorca,0:2,CF,25',0:1,Direct free kick,Not Applicable
LaLiga ,31,3/31/12,Home,FC Barcelona,Athletic Bilbao,2:0,CF,57',2:0,Penalty,Not Applicable
UEFA Champions League ,Viertelfinale,4/3/12,Home,FC Barcelona,AC Milan,3:1,RW,11',1:0,Penalty,Not Applicable
UEFA Champions League ,Viertelfinale,4/3/12,Home,FC Barcelona,AC Milan,3:1,RW,42',2:1,Penalty,Not Applicable
LaLiga ,32,4/7/12,Away,FC Barcelona,Real Zaragoza,1:4,CF,39',1:2,Left-footed shot,Alexis Sánchez
LaLiga ,32,4/7/12,Away,FC Barcelona,Real Zaragoza,1:4,CF,86',1:3,Penalty,Not Applicable
LaLiga ,33,4/10/12,Home,FC Barcelona,Getafe CF,4:0,CF,44',2:0,Left-footed shot,Andrés Iniesta
LaLiga ,34,4/14/12,Away,FC Barcelona,Levante UD,1:2,CF,64',1:1,Left-footed shot,Alexis Sánchez
LaLiga ,34,4/14/12,Away,FC Barcelona,Levante UD,1:2,CF,73',1:2,Penalty,Not Applicable
LaLiga ,36,4/29/12,Away,FC Barcelona,Rayo Vallecano,0:7,CF,16',0:1,Left-footed shot,Pedro
LaLiga ,36,4/29/12,Away,FC Barcelona,Rayo Vallecano,0:7,CF,88',0:7,Left-footed shot,Pedro
LaLiga ,20,5/2/12,Home,FC Barcelona,Málaga CF,4:1,CF,34',2:1,Penalty,Not Applicable
LaLiga ,20,5/2/12,Home,FC Barcelona,Málaga CF,4:1,CF,60',3:1,Penalty,Not Applicable
LaLiga ,20,5/2/12,Home,FC Barcelona,Málaga CF,4:1,CF,63',4:1,Left-footed shot,Andrés Iniesta
LaLiga ,37,5/5/12,Home,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,11',1:0,Direct free kick,Not Applicable
LaLiga ,37,5/5/12,Home,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,63',2:0,Penalty,Not Applicable
LaLiga ,37,5/5/12,Home,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,73',3:0,Left-footed shot,Adriano
LaLiga ,37,5/5/12,Home,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,78',4:0,Penalty,Not Applicable
Copa del Rey ,Finale,5/25/12,Home,FC Barcelona,Athletic Bilbao,3:0,CF,20',2:0,Right-footed shot,Andrés Iniesta
LaLiga ,1,8/19/12,Home,FC Barcelona,Real Sociedad,5:1,CF,11',2:1,Left-footed shot,Pedro
LaLiga ,1,8/19/12,Home,FC Barcelona,Real Sociedad,5:1,CF,16',3:1,Left-footed shot,Cristian Tello
Supercopa ,Finale,8/23/12,Home,FC Barcelona,Real Madrid,3:2,CF,70',2:1,Penalty,Not Applicable
LaLiga ,2,8/26/12,Away,FC Barcelona,CA Osasuna,1:2,CF,76',1:1,Left-footed shot,Alexis Sánchez
LaLiga ,2,8/26/12,Away,FC Barcelona,CA Osasuna,1:2,CF,80',1:2,Left-footed shot,Jordi Alba
Supercopa ,Finale,8/29/12,Away,FC Barcelona,Real Madrid,2:1,CF,45',2:1,Direct free kick,Not Applicable
LaLiga ,4,9/15/12,Away,FC Barcelona,Getafe CF,1:4,Not Applicable,74',0:2,Penalty,Not Applicable
LaLiga ,4,9/15/12,Away,FC Barcelona,Getafe CF,1:4,Not Applicable,78',0:3,Left-footed shot,Pedro
UEFA Champions League ,Gruppenphase,9/19/12,Home,FC Barcelona,Spartak Moscow,3:2,CF,71',2:2,Left-footed shot,Cristian Tello
UEFA Champions League ,Gruppenphase,9/19/12,Home,FC Barcelona,Spartak Moscow,3:2,CF,80',3:2,Header,Alexis Sánchez
LaLiga ,7,10/7/12,Home,FC Barcelona,Real Madrid,2:2,CF,31',1:1,Left-footed shot,Not Applicable
LaLiga ,7,10/7/12,Home,FC Barcelona,Real Madrid,2:2,CF,60',2:1,Direct free kick,Not Applicable
LaLiga ,8,10/20/12,Away,FC Barcelona,Deportivo de La Coruña,4:5,CF,17',0:3,Left-footed shot,Cesc Fàbregas
LaLiga ,8,10/20/12,Away,FC Barcelona,Deportivo de La Coruña,4:5,CF,43',2:4,Left-footed shot,Cesc Fàbregas
LaLiga ,8,10/20/12,Away,FC Barcelona,Deportivo de La Coruña,4:5,CF,76',3:5,Left-footed shot,Xavi
LaLiga ,9,10/27/12,Away,FC Barcelona,Rayo Vallecano,0:5,CF,48',0:2,Left-footed shot,Martín Montoya
LaLiga ,9,10/27/12,Away,FC Barcelona,Rayo Vallecano,0:5,CF,89',0:5,Right-footed shot,Cesc Fàbregas
UEFA Champions League ,Gruppenphase,11/7/12,Away,FC Barcelona,Celtic FC,2:1,CF,90'+1,2:1,Tap-in,Not Applicable
LaLiga ,11,11/11/12,Away,FC Barcelona,RCD Mallorca,2:4,CF,43',0:2,Left-footed shot,Sergio Busquets
LaLiga ,11,11/11/12,Away,FC Barcelona,RCD Mallorca,2:4,CF,70',2:4,Left-footed shot,Alexis Sánchez
LaLiga ,12,11/17/12,Home,FC Barcelona,Real Zaragoza,3:1,CF,15',1:0,Left-footed shot,Jordi Alba
LaLiga ,12,11/17/12,Home,FC Barcelona,Real Zaragoza,3:1,CF,60',3:1,Left-footed shot,Martín Montoya
UEFA Champions League ,Gruppenphase,11/20/12,Away,FC Barcelona,Spartak Moscow,0:3,CF,27',0:2,Right-footed shot,Not Applicable
UEFA Champions League ,Gruppenphase,11/20/12,Away,FC Barcelona,Spartak Moscow,0:3,CF,39',0:3,Left-footed shot,Pedro
LaLiga ,13,11/25/12,Away,FC Barcelona,Levante UD,0:4,CF,46',0:1,Left-footed shot,Andrés Iniesta
LaLiga ,13,11/25/12,Away,FC Barcelona,Levante UD,0:4,CF,51',0:2,Left-footed shot,Andrés Iniesta
LaLiga ,14,12/1/12,Home,FC Barcelona,Athletic Bilbao,5:1,CF,25',2:0,Left-footed shot,Xavi
LaLiga ,14,12/1/12,Home,FC Barcelona,Athletic Bilbao,5:1,CF,70',5:1,Right-footed shot,Pedro
LaLiga ,15,12/9/12,Away,FC Barcelona,Real Betis Balompié,1:2,CF,16',0:1,Left-footed shot,Andrés Iniesta
LaLiga ,15,12/9/12,Away,FC Barcelona,Real Betis Balompié,1:2,CF,25',0:2,Left-footed shot,Andrés Iniesta
Copa del Rey ,Achtelfinale,12/12/12,Away,FC Barcelona,Córdoba CF,0:2,CF,10',0:1,Left-footed shot,David Villa
Copa del Rey ,Achtelfinale,12/12/12,Away,FC Barcelona,Córdoba CF,0:2,CF,73',0:2,Left-footed shot,Alexis Sánchez
LaLiga ,16,12/16/12,Home,FC Barcelona,Atlético de Madrid,4:1,CF,58',3:1,Left-footed shot,Alexis Sánchez
LaLiga ,16,12/16/12,Home,FC Barcelona,Atlético de Madrid,4:1,CF,88',4:1,Left-footed shot,Not Applicable
LaLiga ,17,12/22/12,Away,FC Barcelona,Real Valladolid CF,1:3,CF,59',0:2,Left-footed shot,Xavi
LaLiga ,18,1/6/13,Home,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,28',4:0,Penalty,Not Applicable
LaLiga ,19,1/13/13,Away,FC Barcelona,Málaga CF,1:3,CF,26',0:1,Right-footed shot,Not Applicable
Copa del Rey ,Viertelfinale,1/16/13,Home,FC Barcelona,Málaga CF,2:2,CF,29',1:1,Left-footed shot,Not Applicable
LaLiga ,20,1/19/13,Away,FC Barcelona,Real Sociedad,3:2,CF,6',0:1,Left-footed shot,Andrés Iniesta
Copa del Rey ,Viertelfinale,1/24/13,Away,FC Barcelona,Málaga CF,2:4,CF,79',2:4,Header,Dani Alves
LaLiga ,21,1/27/13,Home,FC Barcelona,CA Osasuna,5:1,CF,11',1:0,Right-footed shot,Xavi
LaLiga ,21,1/27/13,Home,FC Barcelona,CA Osasuna,5:1,CF,28',2:1,Penalty,Not Applicable
LaLiga ,21,1/27/13,Home,FC Barcelona,CA Osasuna,5:1,CF,56',4:1,Left-footed shot,David Villa
LaLiga ,21,1/27/13,Home,FC Barcelona,CA Osasuna,5:1,CF,58',5:1,Left-footed shot,Adriano
LaLiga ,22,2/3/13,Away,FC Barcelona,Valencia CF,1:1,CF,39',1:1,Penalty,Not Applicable
LaLiga ,23,2/10/13,Home,FC Barcelona,Getafe CF,6:1,CF,13',2:0,Left-footed shot,Thiago Alcántara
LaLiga ,24,2/16/13,Away,FC Barcelona,Granada CF,1:2,CF,49',1:1,Left-footed shot,Not Applicable
LaLiga ,24,2/16/13,Away,FC Barcelona,Granada CF,1:2,CF,73',1:2,Direct free kick,Not Applicable
LaLiga ,25,2/23/13,Home,FC Barcelona,Sevilla FC,2:1,CF,60',2:1,Left-footed shot,Cristian Tello
LaLiga ,26,3/2/13,Away,FC Barcelona,Real Madrid,2:1,CF,18',1:1,Left-footed shot,Dani Alves
LaLiga ,27,3/9/13,Home,FC Barcelona,Deportivo de La Coruña,2:0,Not Applicable,88',2:0,Left-footed shot,Alexis Sánchez
UEFA Champions League ,Achtelfinale,3/12/13,Home,FC Barcelona,AC Milan,4:0,CF,5',1:0,Left-footed shot,Xavi
UEFA Champions League ,Achtelfinale,3/12/13,Home,FC Barcelona,AC Milan,4:0,CF,40',2:0,Left-footed shot,Andrés Iniesta
LaLiga ,28,3/17/13,Home,FC Barcelona,Rayo Vallecano,3:1,CF,40',2:0,Left-footed shot,David Villa
LaLiga ,28,3/17/13,Home,FC Barcelona,Rayo Vallecano,3:1,CF,57',3:0,Left-footed shot,David Villa
LaLiga ,29,3/30/13,Away,FC Barcelona,Celta de Vigo,2:2,CF,73',1:2,Left-footed shot,Cristian Tello
UEFA Champions League ,Viertelfinale,4/2/13,Away,FC Barcelona,Paris Saint-Germain,2:2,CF,38',0:1,Left-footed shot,Dani Alves
LaLiga ,33,4/27/13,Away,FC Barcelona,Athletic Bilbao,2:2,CF,67',1:1,Left-footed shot,Thiago Alcántara
LaLiga ,34,5/5/13,Home,FC Barcelona,Real Betis Balompié,4:2,CF,60',3:2,Direct free kick,Not Applicable
LaLiga ,34,5/5/13,Home,FC Barcelona,Real Betis Balompié,4:2,CF,71',4:2,Left-footed shot,Alexis Sánchez
LaLiga ,1,8/18/13,Home,FC Barcelona,Levante UD,7:0,CF,13',2:0,Left-footed shot,Pedro
LaLiga ,1,8/18/13,Home,FC Barcelona,Levante UD,7:0,CF,42',5:0,Penalty,Not Applicable
LaLiga ,3,9/1/13,Away,FC Barcelona,Valencia CF,2:3,CF,11',0:1,Left-footed shot,Cesc Fàbregas
LaLiga ,3,9/1/13,Away,FC Barcelona,Valencia CF,2:3,CF,38',0:2,Right-footed shot,Cesc Fàbregas
LaLiga ,3,9/1/13,Away,FC Barcelona,Valencia CF,2:3,CF,41',0:3,Left-footed shot,Neymar
LaLiga ,4,9/14/13,Home,FC Barcelona,Sevilla FC,3:2,CF,75',2:0,Left-footed shot,Neymar
UEFA Champions League ,Gruppenphase,9/18/13,Home,FC Barcelona,Ajax Amsterdam,4:0,CF,22',1:0,Direct free kick,Not Applicable
UEFA Champions League ,Gruppenphase,9/18/13,Home,FC Barcelona,Ajax Amsterdam,4:0,CF,55',2:0,Left-footed shot,Sergio Busquets
UEFA Champions League ,Gruppenphase,9/18/13,Home,FC Barcelona,Ajax Amsterdam,4:0,CF,75',4:0,Left-footed shot,Xavi
LaLiga ,6,9/24/13,Home,FC Barcelona,Real Sociedad,4:1,CF,8',2:0,Header,Neymar
LaLiga ,7,9/28/13,Away,FC Barcelona,UD Almería,0:2,CF,21',0:1,Left-footed shot,Pedro
UEFA Champions League ,Gruppenphase,10/22/13,Away,FC Barcelona,AC Milan,1:1,CF,23',1:1,Left-footed shot,Andrés Iniesta
UEFA Champions League ,Gruppenphase,11/6/13,Home,FC Barcelona,AC Milan,3:1,CF,30',1:0,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,11/6/13,Home,FC Barcelona,AC Milan,3:1,CF,83',3:1,Left-footed shot,Cesc Fàbregas
Copa del Rey ,Achtelfinale,1/8/14,Home,FC Barcelona,Getafe CF,4:0,CF,90',3:0,Left-footed shot,Martín Montoya
Copa del Rey ,Achtelfinale,1/8/14,Home,FC Barcelona,Getafe CF,4:0,CF,90'+2,4:0,Left-footed shot,Alex Song
Copa del Rey ,Achtelfinale,1/16/14,Away,FC Barcelona,Getafe CF,0:2,CF,43',0:1,Right-footed shot,Cristian Tello
Copa del Rey ,Achtelfinale,1/16/14,Away,FC Barcelona,Getafe CF,0:2,CF,63',0:2,Left-footed shot,Not Applicable
LaLiga ,22,2/1/14,Home,FC Barcelona,Valencia CF,2:3,CF,54',2:2,Penalty,Not Applicable
LaLiga ,23,2/9/14,Away,FC Barcelona,Sevilla FC,1:4,CF,44',1:2,Left-footed shot,Pedro
LaLiga ,23,2/9/14,Away,FC Barcelona,Sevilla FC,1:4,CF,56',1:3,Left-footed shot,Andrés Iniesta
Copa del Rey ,Halbfinale,2/12/14,Away,FC Barcelona,Real Sociedad,1:1,CF,27',0:1,Solo run,Not Applicable
LaLiga ,24,2/15/14,Home,FC Barcelona,Rayo Vallecano,6:0,CF,36',2:0,Left-footed shot,Cesc Fàbregas
LaLiga ,24,2/15/14,Home,FC Barcelona,Rayo Vallecano,6:0,CF,68',5:0,Left-footed shot,Alexis Sánchez
UEFA Champions League ,Achtelfinale,2/18/14,Away,FC Barcelona,Manchester City,0:2,CF,54',0:1,Penalty,Not Applicable
LaLiga ,25,2/22/14,Away,FC Barcelona,Real Sociedad,3:1,CF,36',1:1,Left-footed shot,Martín Montoya
LaLiga ,26,3/2/14,Home,FC Barcelona,UD Almería,4:1,CF,24',2:0,Direct free kick,Not Applicable
UEFA Champions League ,Achtelfinale,3/12/14,Home,FC Barcelona,Manchester City,2:1,CF,67',1:0,Left-footed shot,Not Applicable
LaLiga ,28,3/16/14,Home,FC Barcelona,CA Osasuna,7:0,CF,18',1:0,Left-footed shot,Alexis Sánchez
LaLiga ,28,3/16/14,Home,FC Barcelona,CA Osasuna,7:0,CF,63',4:0,Left-footed shot,Andrés Iniesta
LaLiga ,28,3/16/14,Home,FC Barcelona,CA Osasuna,7:0,CF,88',6:0,Right-footed shot,Dani Alves
LaLiga ,29,3/23/14,Away,FC Barcelona,Real Madrid,3:4,CF,42',2:2,Left-footed shot,Neymar
LaLiga ,29,3/23/14,Away,FC Barcelona,Real Madrid,3:4,CF,65',3:3,Penalty,Not Applicable
LaLiga ,29,3/23/14,Away,FC Barcelona,Real Madrid,3:4,CF,84',3:4,Penalty,Not Applicable
LaLiga ,30,3/26/14,Home,FC Barcelona,Celta de Vigo,3:0,CF,30',2:0,Right-footed shot,Andrés Iniesta
LaLiga ,31,3/29/14,Away,FC Barcelona,RCD Espanyol Barcelona,0:1,CF,77',0:1,Penalty,Not Applicable
LaLiga ,32,4/5/14,Home,FC Barcelona,Real Betis Balompié,3:1,CF,15',1:0,Penalty,Not Applicable
LaLiga ,32,4/5/14,Home,FC Barcelona,Real Betis Balompié,3:1,CF,86',3:1,Penalty rebound,Antonio Amaya
LaLiga ,34,4/20/14,Home,FC Barcelona,Athletic Bilbao,2:1,CF,74',2:1,Direct free kick,Not Applicable
LaLiga ,35,4/27/14,Away,FC Barcelona,Villarreal CF,2:3,CF,83',2:3,Right-footed shot,Cesc Fàbregas
LaLiga ,36,5/3/14,Home,FC Barcelona,Getafe CF,2:2,CF,23',1:0,Left-footed shot,Dani Alves
LaLiga ,1,8/24/14,Home,FC Barcelona,Elche CF,3:0,CF,42',1:0,Left-footed shot,Sergio Busquets
LaLiga ,1,8/24/14,Home,FC Barcelona,Elche CF,3:0,CF,64',3:0,Left-footed shot,Not Applicable
LaLiga ,4,9/21/14,Away,FC Barcelona,Levante UD,0:5,CF,77',0:5,Right-footed shot,Not Applicable
LaLiga ,6,9/27/14,Home,FC Barcelona,Granada CF,6:0,CF,62',4:0,Header,Dani Alves
LaLiga ,6,9/27/14,Home,FC Barcelona,Granada CF,6:0,CF,82',6:0,Right-footed shot,Not Applicable
UEFA Champions League ,Gruppenphase,9/30/14,Away,FC Barcelona,Paris Saint-Germain,3:2,RW,12',1:1,Left-footed shot,Andrés Iniesta
LaLiga ,7,10/4/14,Away,FC Barcelona,Rayo Vallecano,0:2,CF,35',0:1,Left-footed shot,Gerard Piqué
LaLiga ,8,10/18/14,Home,FC Barcelona,SD Eibar,3:0,CF,74',3:0,Left-footed shot,Neymar
UEFA Champions League ,Gruppenphase,10/21/14,Home,FC Barcelona,Ajax Amsterdam,3:1,CF,24',2:0,Left-footed shot,Andrés Iniesta
UEFA Champions League ,Gruppenphase,11/5/14,Away,FC Barcelona,Ajax Amsterdam,0:2,RW,36',0:1,Header,Marc Bartra
UEFA Champions League ,Gruppenphase,11/5/14,Away,FC Barcelona,Ajax Amsterdam,0:2,RW,76',0:2,Left-footed shot,Pedro
LaLiga ,12,11/22/14,Home,FC Barcelona,Sevilla FC,5:1,RW,21',1:0,Direct free kick,Not Applicable
LaLiga ,12,11/22/14,Home,FC Barcelona,Sevilla FC,5:1,RW,73',4:1,Tap-in,Neymar
LaLiga ,12,11/22/14,Home,FC Barcelona,Sevilla FC,5:1,RW,78',5:1,Left-footed shot,Neymar
UEFA Champions League ,Gruppenphase,11/25/14,Away,FC Barcelona,APOEL Nicosia,0:4,CF,38',0:2,Right-footed shot,Rafinha
UEFA Champions League ,Gruppenphase,11/25/14,Away,FC Barcelona,APOEL Nicosia,0:4,CF,58',0:3,Right-footed shot,Dani Alves
UEFA Champions League ,Gruppenphase,11/25/14,Away,FC Barcelona,APOEL Nicosia,0:4,CF,87',0:4,Right-footed shot,Pedro
LaLiga ,14,12/7/14,Home,FC Barcelona,RCD Espanyol Barcelona,5:1,RW,45'+1,1:1,Left-footed shot,Xavi
LaLiga ,14,12/7/14,Home,FC Barcelona,RCD Espanyol Barcelona,5:1,RW,50',2:1,Right-footed shot,Luis Suárez
LaLiga ,14,12/7/14,Home,FC Barcelona,RCD Espanyol Barcelona,5:1,RW,81',5:1,Right-footed shot,Pedro
UEFA Champions League ,Gruppenphase,12/10/14,Home,FC Barcelona,Paris Saint-Germain,3:1,AM,19',1:1,Right-footed shot,Luis Suárez
LaLiga ,16,12/20/14,Home,FC Barcelona,Córdoba CF,5:0,RW,82',4:0,Right-footed shot,Not Applicable
LaLiga ,16,12/20/14,Home,FC Barcelona,Córdoba CF,5:0,RW,90',5:0,Right-footed shot,Not Applicable
Copa del Rey ,Achtelfinale,1/8/15,Home,FC Barcelona,Elche CF,5:0,RW,45',3:0,Penalty,Not Applicable
LaLiga ,18,1/11/15,Home,FC Barcelona,Atlético de Madrid,3:1,RW,87',3:1,Left-footed shot,Not Applicable
LaLiga ,19,1/18/15,Away,FC Barcelona,Deportivo de La Coruña,0:4,RW,11',0:1,Header,Ivan Rakitic
LaLiga ,19,1/18/15,Away,FC Barcelona,Deportivo de La Coruña,0:4,RW,33',0:2,Left-footed shot,Luis Suárez
LaLiga ,19,1/18/15,Away,FC Barcelona,Deportivo de La Coruña,0:4,RW,62',0:3,Left-footed shot,Ivan Rakitic
Copa del Rey ,Viertelfinale,1/21/15,Home,FC Barcelona,Atlético de Madrid,1:0,RW,85',1:0,Penalty rebound,Not Applicable
LaLiga ,20,1/24/15,Away,FC Barcelona,Elche CF,0:6,CF,55',0:2,Penalty,Not Applicable
LaLiga ,20,1/24/15,Away,FC Barcelona,Elche CF,0:6,CF,88',0:5,Left-footed shot,Marc Bartra
LaLiga ,21,2/1/15,Home,FC Barcelona,Villarreal CF,3:2,RW,55',3:2,Right-footed shot,Luis Suárez
LaLiga ,22,2/8/15,Away,FC Barcelona,Athletic Bilbao,2:5,RW,15',0:1,Direct free kick,Not Applicable
Copa del Rey ,Halbfinale,2/11/15,Home,FC Barcelona,Villarreal CF,3:1,RW,41',1:0,Left-footed shot,Luis Suárez
LaLiga ,23,2/15/15,Home,FC Barcelona,Levante UD,5:0,CF,38',2:0,Right-footed shot,Marc Bartra
LaLiga ,23,2/15/15,Home,FC Barcelona,Levante UD,5:0,CF,59',3:0,Right-footed shot,Pedro
LaLiga ,23,2/15/15,Home,FC Barcelona,Levante UD,5:0,CF,65',4:0,Penalty,Not Applicable
LaLiga ,25,2/28/15,Away,FC Barcelona,Granada CF,1:3,RW,70',1:3,Right-footed shot,Luis Suárez
LaLiga ,26,3/8/15,Home,FC Barcelona,Rayo Vallecano,6:1,RW,56',3:0,Penalty,Not Applicable
LaLiga ,26,3/8/15,Home,FC Barcelona,Rayo Vallecano,6:1,RW,63',4:0,Tap-in,Not Applicable
LaLiga ,26,3/8/15,Home,FC Barcelona,Rayo Vallecano,6:1,RW,68',5:0,Left-footed shot,Pedro
LaLiga ,27,3/14/15,Away,FC Barcelona,SD Eibar,0:2,RW,31',0:1,Penalty,Not Applicable
LaLiga ,27,3/14/15,Away,FC Barcelona,SD Eibar,0:2,RW,55',0:2,Header,Ivan Rakitic
LaLiga ,30,4/8/15,Home,FC Barcelona,UD Almería,4:0,RW,33',1:0,Left-footed shot,Marc Bartra
LaLiga ,31,4/11/15,Away,FC Barcelona,Sevilla FC,2:2,RW,15',0:1,Left-footed shot,Neymar
LaLiga ,32,4/18/15,Home,FC Barcelona,Valencia CF,2:0,RW,90'+4,2:0,Left-footed shot,Not Applicable
LaLiga ,33,4/25/15,Away,FC Barcelona,RCD Espanyol Barcelona,0:2,RW,25',0:2,Left-footed shot,Luis Suárez
LaLiga ,34,4/28/15,Home,FC Barcelona,Getafe CF,6:0,RW,9',1:0,Penalty,Not Applicable
LaLiga ,34,4/28/15,Home,FC Barcelona,Getafe CF,6:0,RW,47',6:0,Left-footed shot,Luis Suárez
LaLiga ,35,5/2/15,Away,FC Barcelona,Córdoba CF,0:8,RW,47',0:3,Header,Dani Alves
LaLiga ,35,5/2/15,Away,FC Barcelona,Córdoba CF,0:8,RW,80',0:6,Left-footed shot,Luis Suárez
UEFA Champions League ,Halbfinale,5/6/15,Home,FC Barcelona,Bayern Munich,3:0,RW,77',1:0,Left-footed shot,Dani Alves
UEFA Champions League ,Halbfinale,5/6/15,Home,FC Barcelona,Bayern Munich,3:0,RW,80',2:0,Right-footed shot,Ivan Rakitic
LaLiga ,37,5/17/15,Away,FC Barcelona,Atlético de Madrid,0:1,RW,65',0:1,Left-footed shot,Pedro
LaLiga ,38,5/23/15,Home,FC Barcelona,Deportivo de La Coruña,2:2,RW,5',1:0,Header,Rafinha
LaLiga ,38,5/23/15,Home,FC Barcelona,Deportivo de La Coruña,2:2,RW,59',2:0,Right-footed shot,Neymar
Copa del Rey ,Finale,5/30/15,Away,FC Barcelona,Athletic Bilbao,1:3,RW,20',0:1,Solo run,Not Applicable
Copa del Rey ,Finale,5/30/15,Away,FC Barcelona,Athletic Bilbao,1:3,RW,74',0:3,Left-footed shot,Dani Alves
UEFA Super Cup ,Finale,8/11/15,Home,FC Barcelona,Sevilla FC,5:4,RW,7',1:1,Direct free kick,Not Applicable
UEFA Super Cup ,Finale,8/11/15,Home,FC Barcelona,Sevilla FC,5:4,RW,16',2:1,Direct free kick,Not Applicable
Supercopa ,Finale,8/17/15,Home,FC Barcelona,Athletic Bilbao,1:1,RW,43',1:0,Left-footed shot,Luis Suárez
LaLiga ,3,9/12/15,Away,FC Barcelona,Atlético de Madrid,1:2,RW,77',1:2,Left-footed shot,Luis Suárez
LaLiga ,4,9/20/15,Home,FC Barcelona,Levante UD,4:1,SS,61',3:0,Penalty,Not Applicable
LaLiga ,4,9/20/15,Home,FC Barcelona,Levante UD,4:1,SS,90',4:1,Left-footed shot,Marc Bartra
UEFA Champions League ,Gruppenphase,11/24/15,Home,FC Barcelona,AS Roma,6:1,RW,18',2:0,Left-footed shot,Luis Suárez
UEFA Champions League ,Gruppenphase,11/24/15,Home,FC Barcelona,AS Roma,6:1,RW,60',5:0,Tap-in,Not Applicable
LaLiga ,13,11/28/15,Home,FC Barcelona,Real Sociedad,4:0,RW,90'+1,4:0,Left-footed shot,Neymar
