Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
LaLiga ,26,3/10/07,Home,FC Barcelona,Real Madrid,3:3,RW,90'+1,3:3,Left-footed shot,Ronaldinho
LaLiga ,27,3/17/07,Away,FC Barcelona,Recreativo Huelva,0:4,RW,86',0:4,Left-footed shot,Not Applicable
LaLiga ,28,3/31/07,Home,FC Barcelona,Deportivo de La Coruña,2:1,RW,45',1:0,Left-footed shot,Ronaldinho
Copa del Rey ,Halbfinale,4/18/07,Home,FC Barcelona,Getafe CF,5:2,RW,29',2:0,Solo run,Xavi
Copa del Rey ,Halbfinale,4/18/07,Home,FC Barcelona,Getafe CF,5:2,RW,45',3:0,Left-footed shot,Deco
LaLiga ,35,5/20/07,Away,FC Barcelona,Atlético de Madrid,0:6,RW,39',0:1,Left-footed shot,Samuel Eto'o
LaLiga ,35,5/20/07,Away,FC Barcelona,Atlético de Madrid,0:6,RW,80',0:5,Left-footed shot,Giovanni van Bronckhorst
LaLiga ,37,6/9/07,Home,FC Barcelona,RCD Espanyol Barcelona,2:2,RW,43',1:1,Not reported,Gianluca Zambrotta
LaLiga ,37,6/9/07,Home,FC Barcelona,RCD Espanyol Barcelona,2:2,RW,57',2:1,Right-footed shot,Deco
LaLiga ,38,6/17/07,Away,FC Barcelona,Gimnàstic de Tarragona,1:5,RW,34',0:2,Left-footed shot,Deco
LaLiga ,38,6/17/07,Away,FC Barcelona,Gimnàstic de Tarragona,1:5,RW,51',0:4,Left-footed shot,Deco
UEFA Champions League ,Gruppenphase,9/19/07,Home,FC Barcelona,Olympique Lyon,3:0,RW,82',2:0,Left-footed shot,Andrés Iniesta
LaLiga ,4,9/22/07,Home,FC Barcelona,Sevilla FC,2:1,RW,72',1:0,Left-footed shot,Thierry Henry
LaLiga ,4,9/22/07,Home,FC Barcelona,Sevilla FC,2:1,RW,79',2:0,Penalty,Not Applicable
LaLiga ,5,9/26/07,Home,FC Barcelona,Real Zaragoza,4:1,RW,5',1:0,Left-footed shot,Thierry Henry
LaLiga ,5,9/26/07,Home,FC Barcelona,Real Zaragoza,4:1,RW,10',2:1,Left-footed shot,Deco
LaLiga ,6,9/29/07,Away,FC Barcelona,Levante UD,1:4,RW,50',0:4,Left-footed shot,Deco
UEFA Champions League ,Gruppenphase,10/2/07,Away,FC Barcelona,VfB Stuttgart,0:2,RW,66',0:2,Deflected shot on goal,Thierry Henry
LaLiga ,7,10/7/07,Home,FC Barcelona,Atlético de Madrid,3:0,RW,19',2:0,Left-footed shot,Ronaldinho
LaLiga ,9,10/28/07,Home,FC Barcelona,UD Almería,2:0,RW,80',2:0,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,11/7/07,Home,FC Barcelona,Rangers FC,2:0,RW,41',2:0,Tap-in,Ronaldinho
LaLiga ,13,11/24/07,Home,FC Barcelona,Recreativo Huelva,3:0,RW,81',3:0,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,11/27/07,Away,FC Barcelona,Olympique Lyon,2:2,RW,58',1:2,Penalty,Not Applicable
UEFA Champions League ,Achtelfinale,2/20/08,Away,FC Barcelona,Celtic FC,2:3,RW,18',1:1,Left-footed shot,Deco
UEFA Champions League ,Achtelfinale,2/20/08,Away,FC Barcelona,Celtic FC,2:3,RW,79',2:3,Left-footed shot,Not Applicable
LaLiga ,25,2/24/08,Home,FC Barcelona,Levante UD,5:1,RW,44',2:1,Left-footed shot,Xavi
LaLiga ,35,5/4/08,Home,FC Barcelona,Valencia CF,6:0,RW,5',1:0,Penalty,Not Applicable
LaLiga ,2,9/13/08,Home,FC Barcelona,Racing Santander,1:1,RW,70',1:0,Penalty,Not Applicable
